name,address,notes
??2@YAPAXI@Z,0x0002FDA0
??3@YAXPAX@Z,0x0002FD60
?BTREE_decompress@@YAHPAE0@Z,0x0068EB60
__chkstk,0x00629000
?decompress@LZHLDecompressor@@QAEHPAEPAIPBE1@Z,0x00692440
?LZHLDestroyDecompressor@@YAXPAX@Z,0x0068ED80
_fabs,0x00629210,MSVCRT import thunk identified by four retail call targets and Ghidra
_sqrt,0x0062921C,MSVCRT import thunk identified by retail call target and Ghidra
__ftol2,0x00629228,MSVC float-to-int helper byte-identical to pinned BFME1 CRT body
?set@?$StringBase@D@@QAEXPBDH@Z,0x00036780,BFME2 export and retail call target for StringBase<char>::set(const char *, int)
?concat@?$StringBase@D@@QAEXPBDH@Z,0x000369A0,BFME2 export and retail call target for StringBase<char>::concat(const char *, int)
?set@?$StringBase@G@@QAEXPBGH@Z,0x000371E0,BFME2 export and retail call target for StringBase<wchar_t>::set(const wchar_t *, int)
?concat@?$StringBase@G@@QAEXPBGH@Z,0x00037410,BFME2 export and retail call target for StringBase<wchar_t>::concat(const wchar_t *, int)
?compare@?$StringBase@D@@QBEHPBDH@Z,0x00006733,BFME2 export and retail call target for StringBase<char>::compare(const char *, int)
?compareNoCase@?$StringBase@D@@QBEHPBDH@Z,0x00006772,BFME2 export and retail call target for StringBase<char>::compareNoCase(const char *, int)
?compare@?$StringBase@G@@QBEHPBGH@Z,0x000067B1,BFME2 export and retail call target for StringBase<wchar_t>::compare(const wchar_t *, int)
?compareNoCase@?$StringBase@G@@QBEHPBGH@Z,0x000067F0,BFME2 export and retail call target for StringBase<wchar_t>::compareNoCase(const wchar_t *, int)
_strlen,0x00629170,BFME2 retail strlen thunk and call target for StringBase<char>::compare(const char *)
?GdiplusShutdown@Gdiplus@@YGXK@Z,0x00628F6E,GDI+ import thunk identified by official ATL 7.1 call and retail target
_abs,0x0062909A,MSVCR71 import thunk identified by official ATL 7.1 call and retail target
?set@?$StringBase@D@@QAEXABV1@@Z,0x000366F0,BFME2 export and retail call target for AsciiString copy assignment
??0?$StringBase@D@@AAE@PBD@Z,0x00037BA0,BFME2 export and retail call target for AsciiString const char constructor
??0?$StringBase@D@@AAE@D@Z,0x00037B60,BFME2 export and retail call target for AsciiString char constructor
??0?$StringBase@D@@AAE@PBDH@Z,0x00037B80,BFME2 export and retail call target for AsciiString const char length constructor
??0?$StringBase@D@@AAE@ABV0@HH@Z,0x000380C0,BFME2 export and retail call target for AsciiString substring constructor
??0?$StringBase@D@@AAE@PBDHH@Z,0x00038090,BFME2 export and retail call target for AsciiString const char substring constructor
??0locale@_STL@@QAE@ABV01@@Z,0x00007130,STLport 4.5.3 locale copy constructor; address read from the retail wide basic_streambuf pubimbue REL32 displacement
??1locale@_STL@@QAE@XZ,0x00007150,STLport 4.5.3 locale destructor; address read from the retail wide basic_streambuf pubimbue REL32 displacement
??4locale@_STL@@QAEABV01@ABV01@@Z,0x00007160,STLport 4.5.3 locale assignment; address read from the retail wide basic_streambuf pubimbue REL32 displacement
?reserve@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAEXI@Z,0x0000C390,STLport 4.5.3 narrow string reserve; address read from the retail basic_string<char>::push_back REL32 displacement
??0?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAE@XZ,0x00007850,STLport 4.5.3 narrow string default constructor; address read from retail num_get<double>::do_get REL32 displacement
??$_M_read_float@V?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@D@_STL@@YA_NAAV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@AAV?$istreambuf_iterator@DV?$char_traits@D@_STL@@@0@1AAVios_base@0@PAD@Z,0x0000F850,STLport 4.5.3 narrow floating-point scanner; address read from retail num_get<double>::do_get REL32 displacement
?__string_to_float@_STL@@YAXABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@AAN@Z,0x0001AFD0,STLport 4.5.3 narrow string-to-double conversion; address read from retail num_get<double>::do_get REL32 displacement
?equal@?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@QBE_NABV12@@Z,0x0000FA00,STLport 4.5.3 narrow istreambuf_iterator equality member; address read from retail num_get<double>::do_get REL32 displacement
?__string_to_float@_STL@@YAXABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@AAM@Z,0x0001AFB0,STLport 4.5.3 narrow string-to-float conversion; address read from retail num_get<float>::do_get REL32 displacement
?__string_to_float@_STL@@YAXABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@AAO@Z,0x0001AFF0,STLport 4.5.3 narrow string-to-long-double conversion; address read from retail wide num_get<long double>::do_get REL32 displacement
?getloc@ios_base@_STL@@QBE?AVlocale@2@XZ,0x00007EB0,STLport 4.5.3 ios_base locale accessor; address read from retail wide floating-point scanner REL32 displacement
?_M_use_facet@locale@_STL@@QBEPAVfacet@12@ABVid@12@@Z,0x00007190,STLport 4.5.3 locale facet lookup; identity confirmed against live Open-BFME-1 and retail wide scanner REL32 displacement
?_Initialize_get_float@_STL@@YAXABV?$ctype@G@1@AAG111PAG@Z,0x0001A640,STLport 4.5.3 wide floating-point character-table initializer; address read from retail wide scanner REL32 displacement
?__get_fdigit_or_sep@_STL@@YA_NAAGGPBG@Z,0x00018240,STLport 4.5.3 wide floating-point digit-or-separator classifier; address read from retail wide grouped-digit scanner REL32 displacement
?__valid_grouping@_STL@@YA_NPBD000@Z,0x00017C80,STLport 4.5.3 numeric grouping validator; address read from retail wide grouped-digit scanner REL32 displacement
?__get_fdigit@_STL@@YA_NAAGPBG@Z,0x00018200,STLport 4.5.3 wide floating-point digit classifier; address read from retail wide digit scanner REL32 displacement
?__insert_grouping@_STL@@YAHPAG0ABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@GGGH@Z,0x0001A610,STLport 4.5.3 wide numeric grouping insertion helper; address read from retail wide integer formatter REL32 displacement
??$__copy_integer_and_fill@GV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@YA?AV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@0@PBGHV10@HHGGG@Z,0x0000ECE0,STLport 4.5.3 wide integer padding and output helper; address read from retail wide integer formatter REL32 displacement
?__convert_float_buffer@_STL@@YAPAGPBD0PAGABV?$ctype@G@1@G@Z,0x0001B350,STLport wide floating-point character conversion helper; address read from retail wide floating-point output REL32 displacement
??4?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@QAEAAV01@G@Z,0x0000E960,STLport wide output iterator character assignment; address read from retail wide floating-point copy-and-fill REL32 displacements
??$__copy@PBGV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@H@_STL@@YA?AV?$ostreambuf_iterator@GV?$char_traits@G@_STL@@@0@PBG0V10@ABUrandom_access_iterator_tag@0@PAH@Z,0x0000E9C0,STLport wide range copy helper; address read from retail wide floating-point copy-and-fill REL32 displacements
?sbumpc@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@QAEGXZ,0x0000A300,STLport 4.5.3 wide streambuf bump member; official-header body independently verified and address read from retail wide floating-point scanner REL32 displacements
?_M_getc@?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@ABEXXZ,0x0000A0A0,STLport 4.5.3 wide istreambuf_iterator cache fill; address read from retail wide num_get<long double>::do_get REL32 displacements
?__write_float@_STL@@YAXAAV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@HHO@Z,0x0001BAF0,STLport 4.6 narrow long-double formatter wrapper; address read from retail _M_do_put_float<long double> REL32 displacement
?__write_float@_STL@@YAXAAV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@HHN@Z,0x0001BA00,STLport 4.6 narrow double formatter wrapper; address read from retail _M_do_put_float<double> REL32 displacement
?__adjust_float_buffer@_STL@@YAXPAD0D@Z,0x0001B3B0,STLport 4.6 narrow decimal-point buffer adjustment; address read from retail __put_float REL32 displacement
??0?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAE@ABV01@@Z,0x00009170,STLport 4.6 narrow string copy constructor; address read from retail __put_float REL32 displacement
?__insert_grouping@_STL@@YAHPAD0ABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@1@DDDH@Z,0x0001A600,STLport 4.6 narrow grouping insertion helper; address read from retail __put_float REL32 displacement
??$__copy@PBDV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@H@_STL@@YA?AV?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@0@PBD0V10@ABUrandom_access_iterator_tag@0@PAH@Z,0x000098A0,STLport 4.6 narrow iterator copy primitive; address read from retail __copy_float_and_fill REL32 displacements
??4?$ostreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@QAEAAV01@D@Z,0x00009820,STLport 4.6 narrow ostreambuf_iterator character assignment; address read from retail __copy_float_and_fill REL32 displacements
??$_M_get_base_or_zero@V?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@D@_STL@@YAHAAV?$istreambuf_iterator@DV?$char_traits@D@_STL@@@0@0AAVios_base@0@PAD@Z,0x00007C90,STLport 4.5.3 narrow integer base scanner; address read from retail signed 64-bit integer scanner REL32 displacement
?_M_getc@?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@ABEXXZ,0x00007C40,STLport 4.5.3 narrow istreambuf_iterator cache fill; address read from retail signed 64-bit integer scanner REL32 displacements
__alldiv,0x00629630,MSVCR71 signed 64-bit division helper; address confirmed by retail helper call and Ghidra symbol
__allmul,0x00629580,MSVCR71 64-bit multiplication helper; address confirmed by retail helper call and Ghidra symbol
?sbumpc@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@QAEHXZ,0x00007E90,STLport 4.5.3 narrow streambuf bump member returning char_traits<char>::int_type; address read from retail accumulator REL32 displacements
??$__get_integer@V?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@K@_STL@@YA_NAAV?$istreambuf_iterator@DV?$char_traits@D@_STL@@@0@0HAAKH_NDABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@ABU__false_type@0@@Z,0x000085B0,STLport 4.5.3 narrow unsigned-long integer accumulator; body uses positive accumulation and saturates overflow to ULONG_MAX
__aulldiv,0x006295C0,MSVCR71 unsigned 64-bit division helper; address confirmed by retail accumulator call and Ghidra symbol
??0_Time_Info@_STL@@QAE@XZ,0x00007920,STLport 4.5.3 _Time_Info constructor; target body constructs the exact 14 day 24 month 2 AM-PM and 5 format strings declared by the vendored header
?_Init_timeinfo@_STL@@YAXAAV_Time_Info@1@@Z,0x00019260,STLport 4.5.3 default time-info initializer; target body fills the _Time_Info string table declared by the vendored header
__aulldvrm,0x006296E0,MSVCR71 unsigned 64-bit division and remainder helper; address confirmed by retail formatter REL32 displacement
__alldvrm,0x006296E0,MSVCR71 signed 64-bit division and remainder helper; folded with unsigned helper at the retail call target
